Time,RPM,MAP,TP,lambda,MAT,CLT,Gego,Gwarm,Gbaro,Gammae,TPSacc,Gve,PW,PW_raw,IacDC,IacSteps,DutyCycle1,lambdaTarget,Spark,Dwell,EGT #1,Vbatt,IacInt,speed_rpm_ratio,altitude,speed,course,distance,distance_sum,inst_Vems,torque,torque_nominal,L100km,lambda_corr_ego,lambda_corr_ego,afr_diff,corrected_ve
0,1959,71.5,1.6,1.009,25,83,95,100,100,98,0,90,4.776,4.02,18,46,7.8,1,15,4.03,720,12.24,123,0,0,0,0,0,0,3.071,27.989,26.279,255,0.958,0.958,0.992,86.228
0,2000,85.5,1.6,1.006,25,83,95,100,100,98,0,90,5.556,4.8,18,46,9.3,1,15,4.03,720,12.24,123,0,0,0,0,0,0,3.744,29.965,28.263,255,0.956,0.956,0.994,86.046
0.047,1973,71.8,1.6,1.002,25,83,95,100,100,98,0,90,4.776,4.02,18,47,7.9,1,15,4.03,720,12.24,123,0,0,0,0,0,0,3.093,28.187,26.478,255,0.952,0.952,0.998,85.682
0.094,1985,57.8,1.6,1.002,25,83,95,100,100,98,0,90,3.996,3.24,18,47,6.6,1,15,4.03,720,12.24,123,0,0,0,0,0,0,2.508,30.657,28.957,255,0.952,0.952,0.998,85.682
0.141,1977,70.3,1.6,1.002,25,83,95,100,100,98,0,90,4.696,3.94,18,47,7.7,1,15,4.03,720,12.24,123,0,0,0,0,0,0,3.038,28.681,26.974,255,0.952,0.952,0.998,85.682
0.188,1995,85.3,1.6,1.006,25,83,95,100,100,98,0,90,5.544,4.788,18,47,9.2,1,15,4.03,720,12.24,123,0,0,0,0,0,0,3.725,29.274,27.569,255,0.956,0.956,0.994,86.046
0.235,1976,71.8,1.6,1.002,25,83,95,100,100,98,0,90,4.776,4.02,18,47,7.9,1,15,4.03,720,12.24,123,0,0,0,0,0,0,3.098,28.977,27.271,255,0.952,0.952,0.998,85.682
0.282,2001,58,1.6,0.998,25,83,95,100,100,98,0,90,4.008,3.252,18,46,6.7,1,15,4.03,720,12.24,123,0,0,0,0,0,0,2.538,29.471,27.767,255,0.948,0.948,1.002,85.318
0.328,1973,70.5,1.6,1.006,25,83,95,100,100,98,0,90,4.712,3.956,18,46,7.7,1,15,4.03,720,12.24,123,0,0,0,0,0,0,3.044,29.669,27.965,255,0.956,0.956,0.994,86.046
0.375,1993,85.5,1.6,1.009,25,83,95,100,100,98,0,90,5.556,4.8,18,47,9.2,1,15,4.03,720,12.24,123,0,0,0,0,0,0,3.731,29.471,27.767,255,0.958,0.958,0.992,86.228
0.422,1997,85.8,1.6,1.011,25,83,95,100,100,98,0,90,5.556,4.8,18,47,9.2,1,15,4.03,720,12.24,123,0,0,0,0,0,0,3.738,30.163,28.461,255,0.96,0.96,0.989,86.41
