Time,RPM,MAP,TP,lambda,MAT,CLT,Gego,Gwarm,Gbaro,Gammae,TPSacc,Gve,PW,PW_raw,IacDC,IacSteps,DutyCycle1,lambdaTarget,Spark,Dwell,EGT #1,Vbatt,IacInt,speed_rpm_ratio,altitude,speed,course,distance,distance_sum,inst_Vems,torque,torque_nominal,L100km,lambda_corr_ego,lambda_corr_ego,afr_diff,corrected_ve
0,2072,57,1.6,1.098,30,85,99,100,100,97,0,90,3.736,2.972,18,46,6.5,1.099,20,4.03,721,12.12,123,0,0,0,0,0,0,2.402,31.645,29.949,255,1.087,1.087,1.001,89.032
0.047,2059,70.8,1.6,1.098,30,85,99,100,100,97,0,90,4.455,3.684,18,47,7.6,1.099,20,4.03,720,12,123,0,0,0,0,0,0,2.958,30.262,28.56,255,1.087,1.087,1.001,89.032
0.093,2057,69.5,1.6,1.087,30,85,99,100,100,97,0,90,4.392,3.636,18,47,7.5,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,2.917,31.645,29.949,255,1.076,1.076,1.011,88.169
0.14,2081,84,1.6,1.094,30,85,99,100,100,97,0,90,5.156,4.4,18,46,8.9,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,3.571,33.029,31.337,255,1.083,1.083,1.005,88.687
0.187,2044,70.3,1.6,1.1,30,85,99,100,100,97,0,90,4.408,3.652,18,46,7.5,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,2.911,30.064,28.362,255,1.089,1.089,0.999,89.204
0.234,2070,57.5,1.6,1.098,30,85,99,100,100,97,0,90,3.775,3.004,18,46,6.5,1.099,20,4.03,720,12,123,0,0,0,0,0,0,2.425,30.657,28.957,255,1.087,1.087,1.001,89.032
0.281,2067,57.5,1.6,1.094,30,85,99,100,100,97,0,90,3.76,3.004,18,46,6.5,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,2.422,30.064,28.362,255,1.083,1.083,1.005,88.687
0.328,2054,69.3,1.6,1.083,30,85,99,100,100,97,0,90,4.356,3.6,18,46,7.5,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,2.884,29.867,28.164,255,1.072,1.072,1.015,87.824
0.375,2074,83.5,1.6,1.079,30,85,98,100,100,97,0,90,5.108,4.352,18,46,8.8,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,3.52,33.127,31.436,255,1.057,1.057,1.019,86.595
0.422,2045,70.8,1.6,1.083,30,85,98,100,100,97,0,90,4.436,3.672,18,47,7.6,1.099,20,4.03,720,12.12,123,0,0,0,0,0,0,2.929,31.25,29.552,255,1.061,1.061,1.015,86.937
0.468,2078,57.5,1.6,1.087,30,85,98,100,100,97,0,90,3.748,2.992,18,47,6.5,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,2.425,31.448,29.75,255,1.065,1.065,1.011,87.279
0.515,2075,56.8,1.6,1.083,30,85,98,100,100,97,0,90,3.688,2.932,18,47,6.4,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,2.373,31.25,29.552,255,1.061,1.061,1.015,86.937
0.562,2058,70.8,1.6,1.079,30,85,98,100,100,97,0,90,4.412,3.656,18,46,7.6,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,2.934,29.471,27.767,255,1.057,1.057,1.019,86.595
0.609,2074,84.3,1.6,1.083,30,85,98,100,100,97,0,90,5.12,4.364,18,46,8.8,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,3.53,33.029,31.337,255,1.061,1.061,1.015,86.937
0.656,2038,70,1.6,1.089,30,85,98,100,100,97,0,90,4.388,3.624,18,47,7.5,1.099,20,4.03,720,12.12,123,0,0,0,0,0,0,2.88,30.163,28.461,255,1.068,1.068,1.009,87.449
0.703,2034,70.8,1.6,1.094,30,85,98,100,100,97,0,90,4.412,3.656,18,47,7.5,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,2.9,30.064,28.362,255,1.072,1.072,1.005,87.791
0.75,2075,57,1.6,1.094,30,85,98,100,100,97,0,90,3.704,2.948,18,46,6.4,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,2.386,31.645,29.949,255,1.072,1.072,1.005,87.791
0.797,2044,69.8,1.6,1.087,30,85,98,100,100,97,0,90,4.364,3.608,18,46,7.4,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,2.876,29.175,27.469,255,1.065,1.065,1.011,87.279
0.843,2062,84.8,1.6,1.089,30,85,98,100,100,97,0,90,5.144,4.38,18,46,8.8,1.099,20,4.03,720,12.12,123,0,0,0,0,0,0,3.522,32.831,31.139,255,1.068,1.068,1.009,87.449
0.89,2034,70.5,1.6,1.1,30,85,98,100,100,97,0,90,4.412,3.656,18,46,7.5,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,2.9,31.843,30.147,255,1.078,1.078,0.999,88.303
0.937,2025,70.8,1.6,1.1,30,85,98,100,100,97,0,90,4.412,3.656,18,47,7.4,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,2.887,29.965,28.263,255,1.078,1.078,0.999,88.303
0.984,2051,57.5,1.6,1.098,30,85,98,100,100,97,0,90,3.736,2.98,18,47,6.4,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,2.384,30.558,28.858,255,1.076,1.076,1.001,88.133
1.031,2044,69,1.6,1.098,30,85,98,100,100,97,0,90,4.336,3.572,18,46,7.4,1.099,20,4.03,720,12.12,123,0,0,0,0,0,0,2.847,29.274,27.569,255,1.076,1.076,1.001,88.133
1.078,2041,84.3,1.6,1.1,30,85,98,100,100,97,0,90,5.12,4.364,18,46,8.7,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,3.474,31.25,29.552,255,1.078,1.078,0.999,88.303
1.125,2018,71.8,1.6,1.1,30,85,98,100,100,97,0,90,4.472,3.708,18,47,7.5,1.099,20,4.03,720,12.12,123,0,0,0,0,0,0,2.918,30.459,28.759,255,1.078,1.078,0.999,88.303
1.172,2008,70.8,1.6,1.1,30,85,98,100,100,97,0,90,4.412,3.656,18,47,7.4,1.099,20,4.03,719,12.24,123,0,0,0,0,0,0,2.863,30.064,28.362,255,1.078,1.078,0.999,88.303
1.218,2045,57.3,1.6,1.098,30,85,98,100,100,97,0,90,3.704,2.948,18,46,6.3,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,2.351,31.448,29.75,255,1.076,1.076,1.001,88.133
1.265,2025,70.5,1.6,1.098,30,85,98,100,100,97,0,90,4.412,3.656,18,46,7.4,1.099,20,4.03,720,12.24,123,0,0,0,0,0,0,2.887,28.878,27.172,255,1.076,1.076,1.001,88.133
1.312,2049,84.5,1.6,1.1,30,85,98,100,100,97,0,90,5.144,4.38,18,46,8.8,1.099,20,4.03,719,12.12,123,0,0,0,0,0,0,3.5,32.93,31.238,255,1.078,1.078,0.999,88.303
1.359,2009,71.3,1.6,1.098,30,85,98,100,100,97,0,90,4.448,3.692,18,46,7.4,1.099,20,4.03,719,12.24,123,0,0,0,0,0,0,2.893,30.558,28.858,255,1.076,1.076,1.001,88.133
1.406,2038,57.5,1.6,1.1,30,85,98,100,100,97,0,90,3.744,2.98,18,46,6.4,1.099,20,4.03,719,12.12,123,0,0,0,0,0,0,2.369,29.669,27.965,255,1.078,1.078,0.999,88.303
1.453,2038,57.5,1.6,1.098,30,85,98,100,100,97,0,90,3.736,2.98,18,47,6.3,1.099,20,4.03,719,12.24,123,0,0,0,0,0,0,2.369,29.076,27.37,255,1.076,1.076,1.001,88.133
1.5,2025,70,1.6,1.1,30,85,98,100,100,97,0,90,4.38,3.624,18,47,7.4,1.099,20,4.03,719,12.24,123,0,0,0,0,0,0,2.862,28.582,26.874,255,1.078,1.078,0.999,88.303
1.547,2024,85,1.6,1.116,30,85,98,100,100,97,0,90,5.172,4.416,18,46,8.7,1.099,20,4.03,719,12.24,123,0,0,0,0,0,0,3.486,32.04,30.345,255,1.094,1.094,0.984,89.594
